iter	Logloss
0	0.685366045
1	0.6771963019
2	0.6697269908
3	0.6619447407
4	0.6548421759
5	0.6480046322
6	0.64033776
7	0.6333635564
8	0.6270334344
9	0.6205675226
10	0.6145873488
11	0.608460945
12	0.6023847346
13	0.5959333453
14	0.5902398762
15	0.584025199
16	0.5787022909
17	0.573048508
18	0.5666683933
19	0.5619275277
20	0.556226563
21	0.5511087786
22	0.5457212214
23	0.5414279135
24	0.5359525848
25	0.5315083286
26	0.5268788254
27	0.5226335358
28	0.5177074232
29	0.513752084
30	0.5085494058
31	0.5041468102
32	0.4994367968
33	0.4954636222
34	0.4919631021
35	0.4879175487
36	0.4837178682
37	0.4801588226
38	0.4757778101
39	0.4725135
40	0.4680649607
41	0.4646695455
42	0.4610751303
43	0.457305239
44	0.4537061725
45	0.4498457658
46	0.446568372
47	0.4432660822
48	0.4401581413
49	0.4372933371
50	0.4338849051
51	0.4311467221
52	0.4271170633
53	0.4236592745
54	0.4207482254
55	0.4179617899
56	0.4157882824
57	0.4133700321
58	0.4105573621
59	0.407689379
60	0.4051406593
61	0.4026320943
62	0.4001643198
63	0.397657294
64	0.395010028
65	0.3930873202
66	0.3904690659
67	0.3882310767
68	0.3853421797
69	0.3834155903
70	0.3816807396
71	0.3793189735
72	0.3775205779
73	0.37568089
74	0.3739269324
75	0.3718068976
76	0.3698091005
77	0.3681966213
78	0.366494229
79	0.3644983392
80	0.3630611687
81	0.360982326
82	0.3590338188
83	0.357170975
84	0.3555145264
85	0.3537987826
86	0.3523107161
87	0.350734878
88	0.3494761952
89	0.3476749889
90	0.3462239985
91	0.3448055669
92	0.3435593321
93	0.342038941
94	0.3409056413
95	0.3393284312
96	0.3381239239
97	0.3370305112
98	0.3355156748
99	0.3343171906
100	0.3325758482
101	0.3312009176
102	0.3297204804
103	0.3283539488
104	0.3267820258
105	0.3255139066
106	0.324267471
107	0.3233728242
108	0.3221320437
109	0.320802789
110	0.3195353056
111	0.3182390447
112	0.3171869244
113	0.3162496801
114	0.3153416483
115	0.3141665542
116	0.312688426
117	0.3114641424
118	0.3106357173
119	0.3096996441
120	0.3087640729
121	0.3076675147
122	0.3068517049
123	0.3062720717
124	0.305477477
125	0.3043964453
126	0.30336293
127	0.302331891
128	0.3016369468
129	0.3007154632
130	0.3000650908
131	0.2989696703
132	0.2982856349
133	0.297307667
134	0.296297843
135	0.2955188417
136	0.2946580586
137	0.2939908212
138	0.2932043577
139	0.2925939058
