iter	Passed	Remaining
0	1	1015
1	1	960
2	2	916
3	3	904
4	4	902
5	5	888
6	6	882
7	7	874
8	7	872
9	8	867
10	9	863
11	10	858
12	11	855
13	12	853
14	12	848
15	13	845
16	14	831
17	15	829
18	16	827
19	16	826
20	17	824
21	18	822
22	19	821
23	20	821
24	21	819
25	21	818
26	22	816
27	23	817
28	24	815
29	25	813
30	25	811
31	26	814
32	27	815
33	28	815
34	29	814
35	30	812
36	31	812
37	32	812
38	32	810
39	33	810
40	34	813
41	35	812
42	36	811
43	37	810
44	38	808
45	38	807
46	39	805
47	40	804
48	41	803
49	42	802
50	43	801
51	43	799
52	44	800
53	45	799
54	46	799
55	47	797
56	48	799
57	49	799
58	50	799
59	50	798
60	51	798
61	52	797
62	53	796
63	54	795
64	55	794
65	55	790
66	56	789
67	57	788
68	58	787
69	59	786
70	60	785
71	60	785
72	61	784
73	62	783
74	63	782
75	64	781
76	65	779
77	65	778
78	66	777
79	67	776
80	68	774
81	69	773
82	69	771
83	70	770
84	71	768
85	72	766
86	72	765
87	73	765
88	74	764
89	75	762
90	76	761
91	77	760
92	77	758
93	78	757
94	79	756
95	80	754
96	80	753
97	81	751
98	82	750
99	83	749
100	84	748
101	84	747
102	85	746
103	86	744
104	87	743
105	88	743
106	88	741
107	89	740
108	90	739
109	91	738
110	92	736
111	92	735
112	93	734
113	94	733
114	95	732
115	95	730
116	96	729
117	97	728
118	98	727
119	98	725
120	99	724
121	100	723
122	101	720
123	101	718
124	102	717
125	103	716
126	104	715
127	104	714
128	105	713
129	106	712
130	107	711
131	107	709
132	108	709
133	109	708
134	110	706
135	111	705
136	111	704
137	112	703
138	113	702
139	114	701
140	114	700
141	115	699
142	116	698
143	117	697
144	118	696
145	118	695
146	119	694
147	120	694
148	121	693
149	122	692
150	122	691
151	123	690
152	124	689
153	125	688
154	126	687
155	126	686
156	127	685
157	128	684
158	129	683
159	129	682
160	130	678
161	130	676
162	131	675
163	132	674
164	133	673
165	133	672
166	134	671
167	135	670
168	136	669
169	136	668
170	137	667
171	138	667
172	139	667
173	140	666
174	141	665
175	142	664
176	142	664
177	143	663
178	144	662
179	145	661
180	145	660
181	146	659
182	147	658
183	148	656
184	148	656
185	149	655
186	150	654
187	151	653
188	151	652
189	152	651
190	153	650
191	154	649
192	155	649
193	156	648
194	156	647
195	157	646
196	158	645
197	159	645
198	160	644
199	160	643
200	161	642
201	162	641
202	163	640
203	164	640
204	165	640
205	165	639
206	166	638
207	167	637
208	168	636
209	169	636
210	169	635
211	170	634
212	171	634
213	172	633
214	173	633
215	174	632
216	175	632
217	176	632
218	177	631
219	177	631
220	178	630
221	179	629
222	180	629
223	181	629
224	182	628
225	183	627
226	184	626
227	184	626
228	185	625
229	186	624
230	187	623
231	187	622
232	188	621
233	189	619
234	190	619
235	190	618
236	191	617
237	192	616
238	193	615
239	194	614
240	194	613
241	195	613
242	196	612
243	197	611
244	198	610
245	198	609
246	199	608
247	200	607
248	201	606
249	201	605
250	202	605
251	203	604
252	204	603
253	205	602
254	205	601
255	206	600
256	207	599
257	208	598
258	209	597
259	209	597
260	210	596
261	211	595
262	212	594
263	212	593
264	213	592
265	214	591
266	215	591
267	216	590
268	216	589
269	217	588
270	218	587
271	219	586
272	219	585
273	220	584
274	221	583
275	222	583
276	223	582
277	223	581
278	224	580
279	225	580
280	226	579
281	227	579
282	228	578
283	229	577
284	229	576
285	230	575
286	231	575
287	232	574
288	233	573
289	233	572
290	234	571
291	235	570
292	236	569
293	236	569
294	237	568
295	238	567
296	239	566
297	240	565
298	240	564
299	241	564
300	242	563
301	243	562
302	244	561
303	244	560
304	245	559
305	246	558
306	247	558
307	248	557
308	248	556
309	249	555
310	250	554
311	251	553
312	251	552
313	252	552
314	253	551
315	254	550
316	255	549
317	256	549
318	256	548
319	257	547
320	258	546
321	259	545
322	259	544
323	260	544
324	261	543
325	262	542
326	263	541
327	263	540
328	264	539
329	265	539
330	266	538
331	266	536
332	267	536
333	268	535
334	269	534
335	270	533
336	270	532
337	271	532
338	272	531
339	273	530
340	273	529
341	274	528
342	275	527
343	276	526
344	277	526
345	277	525
346	278	524
347	279	523
348	280	522
349	280	521
350	281	520
351	282	520
352	283	519
353	284	518
354	284	517
355	285	516
356	286	515
357	287	515
358	287	514
359	288	513
360	289	512
361	290	511
362	291	510
363	291	510
364	292	509
365	293	508
366	294	507
367	294	506
368	295	505
369	296	504
370	297	504
371	298	503
372	299	502
373	299	501
374	300	501
375	301	500
376	302	499
377	303	498
378	303	498
379	304	497
380	305	496
381	306	495
382	307	494
383	307	493
384	308	492
385	309	492
386	310	491
387	310	490
388	311	489
389	312	488
390	313	487
391	314	487
392	314	486
393	315	485
394	316	484
395	317	483
396	318	483
397	318	482
398	319	481
399	320	480
400	321	479
401	322	479
402	322	478
403	323	477
404	324	476
405	325	475
406	325	474
407	326	474
408	327	473
409	328	472
410	329	471
411	329	470
412	330	470
413	331	469
414	332	468
415	333	467
416	333	466
417	334	465
418	335	465
419	336	464
420	337	463
421	337	462
422	338	462
423	339	461
424	340	460
425	341	459
426	341	458
427	342	458
428	343	457
429	344	456
430	345	455
431	345	454
432	346	453
433	347	453
434	348	452
435	348	451
436	349	450
437	350	449
438	351	448
439	352	448
440	352	447
441	353	446
442	354	445
443	355	444
444	356	444
445	356	443
446	357	442
447	358	441
448	359	440
